n,p,tiled,strassen,hybrid
256,1,0.158639,0.106525,0.1035
256,2,0.0665399,0.0619016,0.0623276
256,4,0.0365092,0.0339833,0.0311103
256,8,0.037967,0.0308456,0.030244
512,1,1.00761,0.74962,0.766724
512,2,0.53093,0.418572,0.437205
512,4,0.281486,0.228033,0.222954
512,8,0.285218,0.208346,0.207844
1024,1,8.13978,5.14271,5.27007
1024,2,4.2336,3.06826,3.07119
1024,4,2.20832,1.51806,1.58495
1024,8,2.24628,1.43902,1.44089
2048,1,64.4939,36.5198,36.5359
2048,2,33.64,20.0927,21.7091
2048,4,17.6423,10.3967,10.474
2048,8,17.68,10.082,10.0808
4096,1,521.241,256.623,256.866
4096,2,269.166,148.38,147.989
4096,4,140.645,74.8729,72.2976
4096,8,140.851,70.4567,70.4524
