n,p,tiled,strassen,hybrid,tiled_speedup,tiled_efficiency,strassen_speedup,strassen_efficiency,hybrid_speedup,hybrid_efficiency
0,256,1,0.158639,0.106525,0.1035,1.0,1.0,1.0,1.0,1.0,1.0
1,256,2,0.0665399,0.0619016,0.0623276,2.384118401139767,1.1920592005698836,1.720876358607855,0.8604381793039275,1.6605805453763662,0.8302902726881831
2,256,4,0.0365092,0.0339833,0.0311103,4.345178749465888,1.086294687366472,3.1346278907581073,0.7836569726895268,3.3268724506031764,0.8317181126507941
3,256,8,0.037967,0.0308456,0.030244,4.178339083941317,0.5222923854926647,3.4534909354980936,0.4316863669372617,3.422166380108451,0.4277707975135564
4,512,1,1.00761,0.74962,0.766724,1.0,1.0,1.0,1.0,1.0,1.0
5,512,2,0.53093,0.418572,0.437205,1.8978208050025425,0.9489104025012712,1.7908985789780492,0.8954492894890246,1.753694491142599,0.8768472455712994
6,512,4,0.281486,0.228033,0.222954,3.57960964310836,0.89490241077709,3.2873312196041797,0.8218328049010449,3.4389335916825887,0.8597333979206472
7,512,8,0.285218,0.208346,0.207844,3.532771423963424,0.441596427995428,3.597957244199552,0.449744655524944,3.6889397817593963,0.46111747271992454
8,1024,1,8.13978,5.14271,5.27007,1.0,1.0,1.0,1.0,1.0,1.0
9,1024,2,4.2336,3.06826,3.07119,1.9226615646258503,0.9613307823129251,1.676099809012274,0.838049904506137,1.7159700311605597,0.8579850155802798
10,1024,4,2.20832,1.51806,1.58495,3.6859603680625996,0.9214900920156499,3.3876855987246883,0.8469213996811721,3.32507019148869,0.8312675478721725
11,1024,8,2.24628,1.43902,1.44089,3.6236711362786473,0.4529588920348309,3.57375853011077,0.44671981626384627,3.657510288779851,0.45718878609748137
12,2048,1,64.4939,36.5198,36.5359,1.0,1.0,1.0,1.0,1.0,1.0
13,2048,2,33.64,20.0927,21.7091,1.9171789536266348,0.9585894768133174,1.8175655835203828,0.9087827917601914,1.682976263410275,0.8414881317051375
14,2048,4,17.6423,10.3967,10.474,3.6556401376237795,0.9139100344059449,3.512633816499466,0.8781584541248665,3.4882470880274963,0.8720617720068741
15,2048,8,17.68,10.082,10.0808,3.647845022624434,0.45598062782805426,3.622277325927395,0.45278466574092435,3.62430561066582,0.4530382013332275
16,4096,1,521.241,256.623,256.866,1.0,1.0,1.0,1.0,1.0,1.0
17,4096,2,269.166,148.38,147.989,1.936503867501839,0.9682519337509194,1.7294985847149211,0.8647492923574606,1.7357100865604875,0.8678550432802438
18,4096,4,140.645,74.8729,72.2976,3.7060755803619037,0.9265188950904759,3.4274483825255864,0.8568620956313966,3.552898021511087,0.8882245053777718
19,4096,8,140.851,70.4567,70.4524,3.7006553024117683,0.46258191280147104,3.642279584482384,0.455284948060298,3.64595102508928,0.45574387813616
