n,algo,cycles,instructions,cache_references,cache_misses
128,hybrid,80111722.2,128632182.0,288660.0,56734.0
128,strassen,76101312.4,128842603.2,281710.6,52717.4
128,tiled,201899258.4,140927542.4,178677.8,63726.8
256,hybrid,456525834.6,867957093.0,1639341.2,290517.0
256,strassen,452477306.8,870514234.8,1645860.6,345055.0
256,tiled,493877806.0,1002442313.4,4537075.8,138499.4
512,hybrid,2938449346.8,6000921477.2,11009155.0,2756739.8
512,strassen,2786828630.8,6013406826.0,11097877.2,2697741.4
512,tiled,3633507003.8,7777441270.2,64139933.6,1132544.4
1024,hybrid,19228479969.6,41756299351.4,82907951.6,24626358.6
1024,strassen,18324230403.0,41844756398.0,81521117.0,22937475.6
1024,tiled,27456790571.4,61308566081.4,514340199.8,8558534.8
2048,hybrid,130985294910.2,291370609791.4,558792375.6,177498806.4
2048,strassen,124581521507.0,292045144516.0,558401325.8,173751491.2
2048,tiled,222126332291.6,486909932226.8,4421273662.2,404533928.0
