n,algo,cycles,instructions,cache_references,cache_misses
128,classic,57737835.2,124243417.8,890423.0,63151.4
128,cache,56089999.0,122271350.4,107121.2,37055.6
128,strassen,51765627.4,115144008.0,291810.8,53247.6
256,classic,550778630.0,972431015.4,62270072.2,94810.0
256,cache,427648314.8,959267877.4,3124576.0,178366.6
256,strassen,354062348.8,814274138.6,1566248.2,262407.0
512,classic,4623451172.8,7717607966.8,399013004.6,3159239.8
512,cache,3378371598.6,7614425536.4,63486827.8,1406115.2
512,strassen,2465933844.6,5750408784.8,11572283.2,2199841.4
1024,classic,63203026991.0,61593378374.6,3177039276.4,1042041032.8
1024,cache,26811928698.8,60701752122.6,502700030.8,12858594.2
1024,strassen,17185963881.6,40461028084.2,79644863.2,18019341.2
2048,classic,843652357824.4,492761931047.0,26111499317.2,19850782663.8
2048,cache,213677404820.8,484792647303.0,4019884508.6,99687189.2
2048,strassen,120146345558.8,284067289519.2,580066901.6,142326425.4
